"ime","plezalisce","ocena","dolzina"
Müllich,Rabenstein,7c+,15 m
Eulenriss,Rabenstein,6a+,20 m
Dornroschen,Rabenstein,4b+/c,15 m
Grapsch,Rabenstein,7a,14 m
Cliffhanger,Rabenstein,7a+,14 m
Direkter Cliffhager,Rabenstein,7a+,14 m
Untergriff,Rabenstein,7a+,14 m
Fingerhut,Rabenstein,7b+,12 m
Beiszange,Rabenstein,7c,14 m
Sparefroh,Rabenstein,6b+,12 m
Pracker,Rabenstein,5c,12 m
In da sunaseitn,Rabenstein,5c,12 m
Mostschadl,Rabenstein,5c,17 m
Variante P.,Rabenstein,6a,13 m
Rucki Zucki,Rabenstein,5b,10 m
Coold finger,Rabenstein,5c,12 m
Cariboo,Rabenstein,6b,25 m
Aufzug,Rabenstein,4c,8 m
Rampe,Rabenstein,4c,8 m
Daumling,Rabenstein,5a,17 m
Schlangergriss,Rabenstein,5a,17 m
Moritz,Rabenstein,6a+,12 m
Max,Rabenstein,6a+,12 m
Arthos,Rabenstein,6a,10 m
Parthos,Rabenstein,5c,10 m
Aramis podaljsek,Rabenstein,7b,20 m
Aramis,Rabenstein,6a,10 m
Damenwahl,Rabenstein,5a,25 m
Haben fertig,Rabenstein,7a,15 m
Seschsplus mit 50,Rabenstein,6a+,25 m
Stranger in the dark,Rabenstein,7a,15 m
Sternenstaub,Rabenstein,6c,20 m
Schwanzlos,Rabenstein,6a+,20 m
Isonzo,Rabenstein,6b,20 m
o.N,Rabenstein,6b,10 m
AMS,Rabenstein,6b+,15 m
Sparenhof,Rabenstein,6c,15 m
The hammer,Raunjak,7a,20 m
O.N.,Rosenbach / Podrožca,4c,6 m
Crazy Climb,Rosenbach / Podrožca,5a,6 m
G-Unit,Rosenbach / Podrožca,5a,6 m
Terra Nola,Rosenbach / Podrožca,4c,6 m
Cat Woman,Rosenbach / Podrožca,5b,12 m
Wolfshoehle,Rosenbach / Podrožca,5b,12 m
Guarismo,Rosenbach / Podrožca,5c+/6a,12 m
Ixtlan,Rosenbach / Podrožca,6b,12 m
Bitter Moon,Rosenbach / Podrožca,6b,15 m
K.G.B.,Rosenbach / Podrožca,6a,18 m
Kaertner Nudel,Rosenbach / Podrožca,6b,18 m
Poltergeist,Rosenbach / Podrožca,6b+,18 m
Desperado,Rosenbach / Podrožca,6c,16 m
Pan Optikum,Rosenbach / Podrožca,7a,18 m
Peter Strom,Rosenbach / Podrožca,7a,16 m
Dampfnudel,Rosenbach / Podrožca,7b+,18 m
Cliffhanger,Rosenbach / Podrožca,7c+,18 m
Flash Gordon,Rosenbach / Podrožca,7c+/8a,18 m
Major Tom,Rosenbach / Podrožca,7b+,18 m
Feuchte Locher,Rosenbach / Podrožca,7a+,16 m
Lucky Lucas,Rosenbach / Podrožca,7c,18 m
Zampano,Rosenbach / Podrožca,7b+,15 m
Kan Reindling,Rosenbach / Podrožca,7c,15 m
Hyman,Rosenbach / Podrožca,7b+,14 m
Stein auf Stein,Rosenbach / Podrožca,6c+,12 m
Kalimero,Rosenbach / Podrožca,6c,12 m
UFO,Rotelstein,VI+,380 m
Postlersteig,Rotelstein,IV-/III,365 m
Elfengarten,Rotelstein,V-/IV,340 m
no name,Sapotniza / Sopotnica,6a+/b,20 m
Happy Jack,Sapotniza / Sopotnica,6b+,20 m
Tocri,Sapotniza / Sopotnica,7a+,24 m
Rute 66,Sapotniza / Sopotnica,6a+,25 m
Matus,Sapotniza / Sopotnica,6b+,25 m
Harte maner,Sapotniza / Sopotnica,7a,27 m
Miss Piggy,Scharnitz Am Sportplatz,3,12 m
Kermit,Scharnitz Am Sportplatz,3,12 m
Ernie,Scharnitz Am Sportplatz,4a,13 m
Bert,Scharnitz Am Sportplatz,4a,13 m
Links aussen,Scharnitz Am Sportplatz,4a,13 m
Überhang,Scharnitz Am Sportplatz,4c,14 m
Riss,Scharnitz Am Sportplatz,5a,15 m
