"ime", "drzava", "st_smeri", "razpon_ocen", "najlazja", "najtezja"
Cavazzo,Italija,5,6a do 7b,6a,7b
Ceredo,Italija,253,5b do 8c,5b,8c
Cevrè,Italija,,,,
Cinque  torri,Italija,3,4a do 5a,4a,5a
Cinque torri - Sasso cubico,Italija,3,5c+/6a do 6a+,5c+/6a,6a+
Cinque torri - Torre grande Cima ovest,Italija,4,5c do 6a+,5c,6a+
Cinque torri - Torre grande Cima sud,Italija,8,6a+ do 7b+,6a+,7b+
Collinetta e deserto,Italija,19,4c do 6b/b+,4c,6b/b+
Cortina d'Ampezzo - Crepe de Oucera alti,Italija,8,5a do 6c,5a,6c
Cortina d'Ampezzo - Crepe de Oucera bassi,Italija,11,5b do 7a,5b,7a
Cortina d'Ampezzo - Landro,Italija,3,6b do 7a,6b,7a
Cortina d'Ampezzo - Sass Dlacia,Italija,11,5b do 6b+,5b,6b+
Costiera (Obalna cesta),Italija,66,4c do 8a+,4c,8a+
Doberdo (Doberdob),Italija,45,3 do 8a,3,8a
Duino,Italija,28,4b do 7c,4b,7c
Erto,Italija,15,6a+ do 8a+,6a+,8a+
Ferentillo - Gabbio,Italija,30,5c do 8b,5c,8b
Ferentillo - Il Balcone,Italija,77,5b do 8b+,5b,8b+
Ferentillo - Le Mummie,Italija,66,3 do 8a+,3,8a+
Ferentillo - L'Isola,Italija,39,4c do 7c,4c,7c
Ferentillo - Lu strittu,Italija,15,4c do 6c+,4c,6c+
Finale Ligure - Bric Pianarella,Italija,3,6a do 6b+,6a,6b+
Finale Ligure - Falesia del Priore,Italija,15,5b do 6c+,5b,6c+
Finale Ligure - Monte Cucco,Italija,8,5c do 6b,5c,6b
Finale Ligure - Monte Sordo,Italija,4,6a do 7b,6a,7b
Finale Ligure - Rian Cornei,Italija,4,6a do 6b,6a,6b
Finale Ligure - Rocca di Corno,Italija,9,5c do 6c+,5c,6c+
Finale Ligure - Rocca di Perti,Italija,8,5c+ do 7a,5c+,7a
Finale Ligure - Rocca di Perti Settore Settentrionale,Italija,9,5b do 6a,5b,6a
Frosolone (Colle dell'Orso),Italija,132,4c do 8b+,4c,8b+
Gaeta - El Pueblo,Italija,1,6c,6c,6c
Gaeta - Montagna Spaccata,Italija,1,5c,5c,5c
Gemona,Italija,38,4b do 8c,4b,8c
Glinščica (Val Rosandra),Italija,530,2 do 8c (IV do IV),2,2
Grotta Caterina (Katra pečina),Italija,28,5b do 9a,5b,9a
